Rank,Male_name,Number_of_males,Female_name,Number_of_females
1,Liam,22164,Olivia,14718
2,Noah,20337,Emma,13485
3,Oliver,15343,Amelia,12740
4,Theodore,12011,Charlotte,12552
5,James,11793,Mia,12113
6,Henry,11547,Sophia,12088
7,Mateo,11302,Isabella,10770
8,Elijah,11171,Evelyn,9116
9,Lucas,10703,Ava,8662
10,William,10596,Sofia,8094
11,Benjamin,9814,Camila,7608
12,Levi,9513,Harper,7370
13,Ezra,8774,Luna,7135
14,Sebastian,8562,Eleanor,7127
15,Jack,8434,Violet,6972
16,Daniel,8391,Aurora,6917
17,Samuel,8310,Elizabeth,6878
18,Michael,8189,Eliana,6423
19,Ethan,8170,Hazel,6401
20,Asher,8123,Chloe,6385
21,John,8047,Ellie,6306
22,Hudson,7990,Nora,6128
23,Luca,7959,Gianna,6097
24,Leo,7793,Lily,6093
25,Elias,7653,Emily,5955
26,Owen,7574,Aria,5935
27,Alexander,7517,Scarlett,5894
28,Dylan,7464,Penelope,5741
29,Santiago,7407,Zoe,5719
30,Julian,7368,Ella,5685
31,David,7317,Avery,5632
32,Joseph,7223,Abigail,5499
33,Matthew,7078,Mila,5472
34,Luke,7039,Lucy,5396
35,Jackson,6876,Isla,5367
36,Maverick,6615,Ivy,5323
37,Miles,6611,Layla,5305
38,Wyatt,6581,Lainey,5147
39,Thomas,6576,Nova,5044
40,Isaac,6498,Grace,5002
41,Jacob,6496,Willow,4653
42,Mason,6471,Riley,4644
43,Gabriel,6379,Emilia,4634
44,Anthony,6326,Naomi,4605
45,Carter,6267,Elena,4567
46,Logan,6267,Madison,4563
47,Aiden,6243,Valentina,4438
48,Grayson,6211,Victoria,4267
49,Caleb,5766,Stella,4264
50,Cooper,5699,Delilah,4240
51,Charles,5593,Maya,4220
52,Roman,5474,Hannah,4054
53,Josiah,5457,Leah,3969
54,Ezekiel,5390,Lillian,3882
55,Thiago,5289,Genesis,3835
56,Isaiah,5250,Josephine,3746
57,Joshua,5244,Sadie,3729
58,Wesley,5144,Adeline,3723
59,Jayden,5134,Zoey,3600
60,Bennett,5095,Sophie,3574
61,Christopher,5054,Paisley,3542
62,Nathan,5010,Alice,3520
63,Angel,4964,Ruby,3517
64,Nolan,4888,Eloise,3430
65,Waylon,4878,Madelyn,3364
66,Cameron,4817,Leilani,3354
67,Brooks,4793,Claire,3329
68,Andrew,4772,Addison,3327
69,Beau,4694,Ayla,3236
70,Weston,4660,Emery,3197
71,Rowan,4647,Iris,3124
72,Adrian,4617,Eden,3115
73,Lincoln,4567,Natalie,3114
74,Enzo,4548,Maria,3105
